geo_id,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_diff_state,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063004500,4.4,17.5,9.0,31.0,36.4,2.8,3.2,6.5,5.7,4.344,11.05,12.7,32.6,37.1,2.4,45.2,43.8,2.3,13.7,8.9,15.7,8.0,6.5,23.2,20.2
1400000US53063004601,19.6,24.8,11.7,26.0,13.7,1.5,5.0,3.9,11.4,2.725,8.03,62.2,38.2,4.5,0.0,52.2,49.8,3.2,9.6,9.9,8.1,4.0,9.8,19.2,34.7
1400000US53063004602,18.0,25.3,11.6,26.4,14.7,1.9,8.0,5.5,7.8,2.575,12.34,11.3,20.9,0.9,1.5,35.7,49.6,4.5,18.2,17.7,12.4,6.2,6.6,21.7,12.0
1400000US53063004701,25.6,28.8,19.2,15.1,8.9,2.5,8.9,9.7,16.7,2.425,9.54,22.5,22.7,0.0,2.5,32.8,51.0,3.6,18.2,15.2,10.9,7.9,1.3,29.8,11.5
1400000US53063004702,15.3,23.0,9.8,14.9,34.7,5.1,8.6,2.0,15.3,2.914,12.52,48.4,43.3,4.4,1.1,41.8,46.8,4.5,13.4,12.9,11.5,6.7,7.1,21.7,21.6
1400000US53063004800,13.6,24.0,8.2,35.5,16.9,3.4,5.6,1.3,9.1,3.153,11.38,47.6,50.0,6.1,0.0,44.0,46.2,4.1,11.7,12.2,6.7,7.3,8.8,21.3,25.9
1400000US53063004900,11.2,15.1,12.1,37.8,20.5,2.7,4.3,2.5,3.3,3.654,10.35,24.1,52.4,18.8,1.0,43.2,50.6,7.9,11.2,10.5,10.4,7.1,7.8,19.4,23.9
1400000US53063005000,11.8,19.2,11.7,25.0,29.0,1.9,6.9,5.9,11.7,3.819,9.77,55.6,35.8,29.1,6.1,39.5,48.4,2.5,14.3,14.7,6.9,3.7,10.3,27.2,19.8
1400000US53063010101,25.0,25.0,16.4,16.4,11.8,0.5,2.9,2.3,3.4,4.025,9.62,6.4,34.7,31.0,0.0,52.8,52.9,2.5,9.5,10.9,16.3,7.7,10.5,13.1,28.8
1400000US53063010102,22.5,31.5,15.0,22.3,5.3,0.2,2.6,1.0,3.0,3.535,,5.5,33.2,24.9,4.0,46.9,52.2,0.4,17.5,10.3,8.7,13.4,12.9,19.6,17.2
1400000US53063010201,28.8,26.9,15.0,16.4,6.7,2.3,1.4,3.5,11.2,3.17,,8.4,48.0,7.5,0.0,43.7,53.7,4.4,11.0,18.4,11.8,8.0,5.3,17.5,21.2
1400000US53063010203,16.1,27.4,16.5,20.0,15.5,2.1,6.2,4.0,5.5,3.686,10.37,4.4,62.5,13.9,0.0,37.2,49.5,5.8,13.8,7.2,19.2,8.4,4.5,26.4,13.0
1400000US53063010204,14.2,24.6,17.0,29.5,9.8,0.0,0.0,6.6,22.6,4.35,,5.4,27.9,36.3,3.9,43.1,45.2,1.3,3.2,15.3,14.7,4.8,6.4,31.6,20.3
1400000US53063010301,31.3,27.4,17.4,10.4,6.2,1.0,1.7,8.7,13.7,2.414,7.98,28.5,29.0,1.8,1.3,35.5,43.9,5.1,15.7,10.5,8.9,7.0,6.2,26.0,18.5
1400000US53063010303,30.0,28.5,14.1,19.2,6.3,0.0,4.8,1.8,7.9,3.619,8.59,9.9,46.8,17.4,0.0,47.3,48.9,2.4,4.8,15.9,11.5,6.6,11.9,23.2,21.6
1400000US53063010304,27.3,32.5,23.0,7.2,1.2,0.7,1.5,4.4,12.0,2.519,6.75,13.1,22.0,10.7,0.0,46.4,49.5,1.8,8.3,13.8,13.9,6.0,11.5,21.4,21.3
1400000US53063010305,19.0,33.3,14.0,16.9,14.3,0.2,1.4,3.5,7.6,3.565,10.94,5.8,53.0,17.5,0.0,40.1,55.1,6.9,8.9,15.3,13.8,7.9,5.1,24.9,14.7
1400000US53063010401,33.2,32.3,11.1,5.7,4.9,3.8,8.8,10.9,23.2,1.93,10.27,51.4,16.9,0.0,0.0,33.8,67.8,7.9,24.1,17.4,13.3,3.9,4.0,20.1,8.4
1400000US53063010403,30.4,22.4,22.2,19.2,0.3,4.5,11.4,4.9,11.6,2.982,9.6,10.1,37.8,11.6,0.0,41.2,48.0,2.7,13.3,15.6,11.9,8.3,8.4,22.6,15.6
1400000US53063010404,21.0,35.7,19.0,16.4,5.0,0.6,1.9,3.7,7.3,3.123,7.24,10.7,29.7,23.0,0.0,50.0,54.0,2.4,6.2,12.6,21.4,9.7,4.3,13.9,27.6
1400000US53063010504,25.3,24.2,11.5,19.2,14.2,0.2,1.2,4.0,7.5,2.87,12.11,6.9,31.0,12.2,3.0,45.7,50.5,2.6,3.7,14.8,12.2,7.9,9.9,26.3,20.7
1400000US53063010505,21.5,17.1,16.5,28.7,12.5,2.3,3.6,4.7,6.1,3.064,15.09,19.0,51.0,1.0,0.0,34.4,51.1,4.0,13.8,11.9,13.0,5.7,3.7,30.2,14.9
