geo_id,diff_state,diff_County,foreign,unemploy,poverty,rent,age,under18,over65,more_high_school,male
1400000US53063012902,2.6,11.1,4.9,4.0,4.3,12.19,36.9,25.2,16.4,66.9,50.9
1400000US53063013001,0.0,0.0,9.6,0.6,17.5,,45.8,26.7,17.1,75.5,47.8
1400000US53063013002,5.6,0.0,10.9,8.6,10.0,11.16,35.4,15.0,16.1,65.1,47.8
1400000US53063013003,1.9,1.5,4.5,6.2,12.5,9.85,40.7,30.3,16.7,82.2,49.4
1400000US53063013101,7.6,2.5,3.9,6.5,8.6,14.15,36.8,19.8,13.1,75.9,52.6
1400000US53063013102,0.9,0.5,6.1,5.1,4.0,11.23,41.1,25.6,17.0,66.9,45.1
1400000US53063013201,4.3,0.0,2.1,2.9,6.9,14.29,43.6,20.2,19.8,59.8,51.9
1400000US53063013203,2.1,0.2,2.0,9.3,1.8,15.13,46.5,20.6,24.1,85.4,45.5
1400000US53063013204,0.3,0.3,2.2,5.9,1.6,9.43,36.6,34.6,13.2,83.5,48.4
1400000US53063013205,18.3,1.9,1.0,1.9,6.3,14.81,34.4,39.4,9.4,74.4,44.6
1400000US53063013300,0.7,0.3,0.9,3.8,2.6,11.16,48.1,22.0,15.5,77.4,51.7
1400000US53063013401,6.3,4.0,3.7,3.1,3.9,20.47,43.6,22.7,19.8,89.1,50.5
1400000US53063013501,3.3,0.0,5.1,2.6,8.6,,57.3,15.5,25.7,87.9,48.6
1400000US53063013502,2.6,1.0,2.8,5.0,2.5,15.97,53.3,20.7,23.5,95.6,52.5
1400000US53063013503,1.5,1.4,4.3,1.0,1.0,,40.9,25.6,15.4,85.80000000000001,49.0
1400000US53063013600,4.1,1.6,4.3,4.6,8.6,12.61,34.6,29.0,10.5,72.8,50.0
1400000US53063013700,2.7,3.0,9.3,3.1,8.3,11.61,35.5,17.2,11.2,64.6,51.6
1400000US53063013800,31.7,0.6,5.7,5.0,5.5,14.55,23.3,32.3,0.0,89.0,61.1
1400000US53063013900,2.8,3.7,6.6,4.5,5.0,6.75,39.8,19.1,12.0,69.4,52.2
1400000US53063014001,8.5,16.5,2.5,16.0,37.2,8.63,22.7,10.0,9.2,71.8,50.3
1400000US53063014002,5.3,6.6,9.6,9.5,32.4,10.09,24.1,20.2,9.2,82.6,46.0
1400000US53063014100,0.9,0.5,8.5,5.2,1.5,7.92,41.3,25.1,18.2,78.4,49.7
1400000US53063014200,0.3,9.6,2.5,3.2,12.5,12.15,44.7,17.6,17.7,65.9,48.0
1400000US53063014300,2.8,3.0,2.3,6.2,10.2,7.66,42.2,23.7,15.1,66.4,51.8
1400000US53063014400,1.2,3.2,6.8,8.2,9.2,11.25,38.2,25.0,12.9,61.1,53.6
1400000US53063014500,3.1,5.6,2.9,15.1,40.7,7.62,39.4,15.4,9.8,56.199999999999996,53.6
