geo_id,census_tract,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063004300,Census Tract 43; Spokane County; Washington,7.1,19.9,14.1,31.6,26.1,90.8,9.2,9.2,4.9,4.3,1.9,2.4,0.0,94.4,5.6,1.0,6.6,360000.0,1250.0,15.2,52.6,18.9,0.0,42.9,48.7,4.1,15.3,9.1,12.3,3.6,8.2,22.4,24.8
1400000US53063004400,Census Tract 44; Spokane County; Washington,12.1,20.9,14.6,31.1,20.3,85.9,14.1,14.1,9.9,4.2,1.8,2.4,0.0,97.3,2.7,2.4,4.6,275000.0,1274.0,32.1,21.3,7.3,6.0,38.8,48.8,6.9,13.8,15.2,9.1,4.0,6.5,20.1,21.7
1400000US53063004500,Census Tract 45; Spokane County; Washington,4.4,17.5,9.0,31.0,36.4,84.1,15.9,15.9,9.0,6.9,4.1,2.8,0.0,96.8,3.2,6.5,5.7,434400.0,1105.0,12.7,32.6,37.1,2.4,45.2,43.8,2.3,13.7,8.9,15.7,8.0,6.5,23.2,20.2
1400000US53063004601,Census Tract 46.01; Spokane County; Washington,19.6,24.8,11.7,26.0,13.7,82.9,17.1,16.5,14.0,2.6,1.0,1.5,0.6,95.0,5.0,3.9,11.4,272500.0,803.0,62.2,38.2,4.5,0.0,52.2,49.8,3.2,9.6,9.9,8.1,4.0,9.8,19.2,34.7
1400000US53063004602,Census Tract 46.02; Spokane County; Washington,18.0,25.3,11.6,26.4,14.7,84.7,15.3,15.3,12.1,3.2,1.3,1.9,0.0,92.0,8.0,5.5,7.8,257500.0,1234.0,11.3,20.9,0.9,1.5,35.7,49.6,4.5,18.2,17.7,12.4,6.2,6.6,21.7,12.0
1400000US53063004701,Census Tract 47.01; Spokane County; Washington,25.6,28.8,19.2,15.1,8.9,85.5,14.5,13.9,11.1,2.8,0.3,2.5,0.5,91.1,8.9,9.7,16.7,242500.0,954.0,22.5,22.7,0.0,2.5,32.8,51.0,3.6,18.2,15.2,10.9,7.9,1.3,29.8,11.5
1400000US53063004702,Census Tract 47.02; Spokane County; Washington,15.3,23.0,9.8,14.9,34.7,74.8,25.2,24.1,17.3,6.8,1.7,5.1,1.1,91.4,8.6,2.0,15.3,291400.0,1252.0,48.4,43.3,4.4,1.1,41.8,46.8,4.5,13.4,12.9,11.5,6.7,7.1,21.7,21.6
1400000US53063004800,Census Tract 48; Spokane County; Washington,13.6,24.0,8.2,35.5,16.9,83.6,16.4,16.3,10.2,6.1,2.6,3.4,0.1,94.4,5.6,1.3,9.1,315300.0,1138.0,47.6,50.0,6.1,0.0,44.0,46.2,4.1,11.7,12.2,6.7,7.3,8.8,21.3,25.9
1400000US53063004900,Census Tract 49; Spokane County; Washington,11.2,15.1,12.1,37.8,20.5,89.3,10.7,10.7,7.5,3.2,0.5,2.7,0.0,95.7,4.3,2.5,3.3,365400.0,1035.0,24.1,52.4,18.8,1.0,43.2,50.6,7.9,11.2,10.5,10.4,7.1,7.8,19.4,23.9
1400000US53063005000,Census Tract 50; Spokane County; Washington,11.8,19.2,11.7,25.0,29.0,82.4,17.6,17.4,14.2,3.2,1.3,1.9,0.2,93.1,6.9,5.9,11.7,381900.0,977.0,55.6,35.8,29.1,6.1,39.5,48.4,2.5,14.3,14.7,6.9,3.7,10.3,27.2,19.8
